"ID","Item title","Final URL","Image URL","Item subtitle","Item description","Item Category","Price","Sale Price"
"3320133","Exia tartó","http://www.decathlon.hu/exia-tarto-id_3320133.html","http://www.decathlon.hu/media/332/3320133/big_0f148bfbb5884392b861a6db2bc22576.jpg","SANS MARQUE","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","8190.00 HUF",""
"8183160","Keresztmerevítő","http://www.decathlon.hu/keresztmerevito-id_8183160.html","http://www.decathlon.hu/media/818/8183160/big_842576.jpg","ARTENGO","Eredeti ARTENGO keresztmerevítő. ","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","5490.00 HUF",""
"8327217","BRONZÉREM, 50 mm","http://www.decathlon.hu/bronzerem-50-mm-id_8327217.html","http://www.decathlon.hu/media/832/8327217/big_346718.jpg","TROPHEE VAINQUEUR","Sportághoz szabható.","SPORTÉRMEK, DÍJAK","190.00 HUF",""
"8364688","Kupa C535, arany/ezüst, 32 cm","http://www.decathlon.hu/kupa-c535-arany-ezust-32-cm-id_8364688.html","http://www.decathlon.hu/media/836/8364688/big_140423.jpg","TROPHEE VAINQUEUR","","SPORTÉRMEK, DÍJAK","6390.00 HUF",""
"8392693","Szalag, 22 mm, Spanyolország","http://www.decathlon.hu/szalag-22-mm-spanyolorszag-id_8392693.html","http://www.decathlon.hu/media/839/8392693/big_1147817.jpg","BIEMANS TROPHY PRODU","Válassz színeidnek megfelelőt!","SPORTÉRMEK, DÍJAK","190.00 HUF",""
"8392694","Szalag, 22 mm","http://www.decathlon.hu/szalag-22-mm-id_8392694.html","http://www.decathlon.hu/media/839/8392694/big_1147828.jpg","BIEMANS TROPHY PRODU","A szalagra rögzítheted az érmét.","SPORTÉRMEK, DÍJAK","190.00 HUF",""
"8392697","Kék éremszalag, 22 mm ","http://www.decathlon.hu/kek-eremszalag-22-mm-id_8392697.html","http://www.decathlon.hu/media/839/8392697/big_1147816.jpg","BIEMANS TROPHY PRODU","Az egyszínű szalag mindenkihez illik.","SPORTÉRMEK, DÍJAK","190.00 HUF",""
"8392698","Németország éremszalag, 22 mm ","http://www.decathlon.hu/nemetorszag-eremszalag-22-mm-id_8392698.html","http://www.decathlon.hu/media/839/8392698/big_1147807.jpg","BIEMANS TROPHY PRODU","Válassz színeidnek megfelelőt!","SPORTÉRMEK, DÍJAK","190.00 HUF",""
"8392695","Szalag 22 mm","http://www.decathlon.hu/szalag-22-mm-id_8392695.html","http://www.decathlon.hu/media/839/8392695/big_1147819.jpg","BIEMANS TROPHY PRODU","Válassz színeidnek megfelelőt!","SPORTÉRMEK, DÍJAK","190.00 HUF",""
"8392691","Aranyérem, 32 mm","http://www.decathlon.hu/aranyerem-32-mm-id_8392691.html","http://www.decathlon.hu/media/839/8392691/big_1162559.jpg","BIEMANS TROPHY PRODU","Egyedi mintázata minden sportághoz megfelel.","SPORTÉRMEK, DÍJAK","90.00 HUF",""
"8392699","Ezüstérem, 32 mm ","http://www.decathlon.hu/ezusterem-32-mm-id_8392699.html","http://www.decathlon.hu/media/839/8392699/big_1162564.jpg","BIEMANS TROPHY PRODU","Egyedi mintázata minden sportághoz megfelel.","SPORTÉRMEK, DÍJAK","90.00 HUF",""
"8392700","Bronzérem, 32 mm ","http://www.decathlon.hu/bronzerem-32-mm-id_8392700.html","http://www.decathlon.hu/media/839/8392700/big_1162565.jpg","BIEMANS TROPHY PRODU","Egyedi mintázata minden sportághoz megfelel.","SPORTÉRMEK, DÍJAK","90.00 HUF",""
"8392689","Szalag, 22 mm","http://www.decathlon.hu/szalag-22-mm-id_8392689.html","http://www.decathlon.hu/media/839/8392689/big_1147809.jpg","BIEMANS TROPHY PRODU","Válassz színeidnek megfelelőt!","SPORTÉRMEK, DÍJAK","190.00 HUF",""
"8183159","Kerékrúd","http://www.decathlon.hu/kerekrud-id_8183159.html","http://www.decathlon.hu/media/818/8183159/big_803523.jpg","ARTENGO","Kerékrúd FT730 I és FT840 I asztalokhoz","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","3290.00 HUF",""
"8310570","Állítható láb FT730 kültéri","http://www.decathlon.hu/allithato-lab-ft730-kulteri-id_8310570.html","http://www.decathlon.hu/media/831/8310570/big_1045523.jpg","ARTENGO","Állítsd be az asztal stabilitását!","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","1690.00 HUF",""
"8310561","Csavarkészlet FT 730-hoz","http://www.decathlon.hu/csavarkeszlet-ft-730-hoz-id_8310561.html","http://www.decathlon.hu/media/831/8310561/big_1068782.jpg","ARTENGO","","MŰHELYSZOLGÁLTATÁSOK ÜTŐS SPORTOK GOLF","6990.00 HUF",""
"8517314","Futball aranyérem, 50 mm","http://www.decathlon.hu/futball-aranyerem-50-mm-id_8517314.html","http://www.decathlon.hu/media/851/8517314/big_1166733.jpg","BIEMANS TROPHY PRODU","méret 50 mm","SPORTÉRMEK, DÍJAK","290.00 HUF",""
"8514711","Kupa C170, arany, 18 cm","http://www.decathlon.hu/kupa-c170-arany-18-cm-id_8514711.html","http://www.decathlon.hu/media/851/8514711/big_1302076.jpg","","","SPORTÉRMEK, DÍJAK","2290.00 HUF",""
"8514702","Kupa C122, ezüst, 15 cm","http://www.decathlon.hu/kupa-c122-ezust-15-cm-id_8514702.html","http://www.decathlon.hu/media/851/8514702/big_1302082.jpg","BIEMANS TROPHY PRODU","Szépen mutat a sportot ábrázoló „érem” matricával","SPORTÉRMEK, DÍJAK","1390.00 HUF",""
"8514704","Kupa C522, arany, 27 cm","http://www.decathlon.hu/kupa-c522-arany-27-cm-id_8514704.html","http://www.decathlon.hu/media/851/8514704/big_1302093.jpg","BIEMANS TROPHY PRODU","","SPORTÉRMEK, DÍJAK","4790.00 HUF",""
"3568836","Lovaglócsizma SCHOOLING","http://www.decathlon.hu/lovaglocsizma-schooling-id_3568836.html","http://www.decathlon.hu/media/356/3568836/big_665415.jpg","FOUGANZA","Csapadékos időben, sáros talajon sem ázik be. ","Lovaglás","4990.00 HUF",""
"8297180","Láthatósági munkatakaró","http://www.decathlon.hu/lathatosagi-munkatakaro-id_8297180.html","http://www.decathlon.hu/media/829/8297180/big_567197.jpg","FOUGANZA","Rossz látási viszonyok közötti lovagláshoz. ","LOVAGLÁS TEREPEN","7990.00 HUF",""
"4433388","Szügyellő+martingál, SCHOOLING","http://www.decathlon.hu/szugyellomartingal-schooling-id_4433388.html","http://www.decathlon.hu/media/443/4433388/big_1500597.jpg","FOUGANZA","Strapabíró, erős bivalybőr. ","Lovaglás","5990.00 HUF",""
"8325236","Esőnadrág 500, 2 az 1-ben","http://www.decathlon.hu/esonadrag-500-2-az-1-ben-id_8325236.html","http://www.decathlon.hu/media/832/8325236/big_405883.jpg","FOUGANZA","Szárazon tart!","Lovaglás","14990.00 HUF",""
"8202041","Nyeregtáska, első, SENTIER","http://www.decathlon.hu/nyeregtaska-elso-sentier-id_8202041.html","http://www.decathlon.hu/media/820/8202041/big_846168.jpg","FOUGANZA","Hőszigetelő zseb a kulacsnak: az ital friss marad.","LOVAGLÁS TEREPEN","7990.00 HUF",""
"8216607","Pálcás csikózabla ","http://www.decathlon.hu/palcas-csikozabla-id_8216607.html","http://www.decathlon.hu/media/821/8216607/big_618514.jpg","FOUGANZA","Segíti a fordítás tanulását.","Lovaglás","4990.00 HUF",""
"8354707","Idomítópálca, 110 cm, GIFT","http://www.decathlon.hu/idomitopalca-110-cm-gift-id_8354707.html","http://www.decathlon.hu/media/835/8354707/big_697878.jpg","VALE BROTHERS","Hossza: 110 cm, pónikhoz is megfelelő.  ","Lovaglás","3990.00 HUF",""
"2790318","Kötőfék, SCHOOLING","http://www.decathlon.hu/kotofek-schooling-id_2790318.html","http://www.decathlon.hu/media/279/2790318/big_713056.jpg","FOUGANZA","Kiváló ár-érték arány!","Lovaglás","1490.00 HUF",""
"8325222","Versenynadrág 100-as, fehér","http://www.decathlon.hu/versenynadrag-100-as-feher-id_8325222.html","http://www.decathlon.hu/media/832/8325222/big_405807.jpg","FOUGANZA","Szabad mozgás, kényelem!","Lovaglás","7990.00 HUF",""
"8139991","Futószárazó ""szakáll"" SOFT","http://www.decathlon.hu/futoszarazo-szakall-soft-id_8139991.html","http://www.decathlon.hu/media/813/8139991/big_837824.jpg","FOUGANZA","Nélkülözhetetlen kellék futószárazáshoz.","Lovaglás","1490.00 HUF",""
"5966149","Versenynadrág 100-as, fehér","http://www.decathlon.hu/versenynadrag-100-as-feher-id_5966149.html","http://www.decathlon.hu/media/596/5966149/big_471250.jpg","FOUGANZA","Kényelmes a versenypályán.","Lovaglás","4490.00 HUF",""
"8298065","Kobak C700 CROSS, fekete","http://www.decathlon.hu/kobak-c700-cross-fekete-id_8298065.html","http://www.decathlon.hu/media/829/8298065/big_582114.jpg","FOUGANZA","Elegéns és kényelmes!","Lovaglás","13990.00 HUF",""
"4674164","Kengyelgumi, fekete","http://www.decathlon.hu/kengyelgumi-fekete-id_4674164.html","http://www.decathlon.hu/media/467/4674164/big_342813.jpg","FOUGANZA","Csúszásgátlós.","Lovaglás","1490.00 HUF",""
"8204989","Légysallang kötőfékre 100","http://www.decathlon.hu/legysallang-kotofekre-100-id_8204989.html","http://www.decathlon.hu/media/820/8204989/big_850062.jpg","FOUGANZA","Kötőfékhez, kantárhoz rögzíthető.","Lovaglás","1290.00 HUF",""
"8278208","Mikroszálas leszárítótakaró","http://www.decathlon.hu/mikroszalas-leszaritotakaro-id_8278208.html","http://www.decathlon.hu/media/827/8278208/big_473721.jpg","FOUGANZA","Gyorsan szárad!","Lovaglás","12990.00 HUF",""
"8352452","Lovaglócipő Classic, bőr","http://www.decathlon.hu/lovaglocipo-classic-bor-id_8352452.html","http://www.decathlon.hu/media/835/8352452/big_167308.jpg","FOUGANZA","Könnyű le- és felvétel. ","Lovaglás","8990.00 HUF",""
"8203067","Kantárszár, tanuló, INITIATION","http://www.decathlon.hu/kantarszar-tanulo-initiation-id_8203067.html","http://www.decathlon.hu/media/820/8203067/big_795150.jpg","FOUGANZA","4 élénk szín!","Lovaglás","4990.00 HUF",""
"8112341","Villanypásztor összekötő 130cm","http://www.decathlon.hu/villanypasztor-osszekoto-130cm-id_8112341.html","http://www.decathlon.hu/media/811/8112341/big_894180.jpg","AKO","Rozsdamentes acél: kiváló vezetőképesség. ","Lovaglás","1990.00 HUF",""
"8354546","Lovaglókabát 500 Softshell","http://www.decathlon.hu/lovaglokabat-500-softshell-id_8354546.html","http://www.decathlon.hu/media/835/8354546/big_174070.jpg","FOUGANZA","Szélálló és vízlepergető.","Lovaglás","14990.00 HUF",""
"2390980","Szivacs, lóápoláshoz","http://www.decathlon.hu/szivacs-loapolashoz-id_2390980.html","http://www.decathlon.hu/media/239/2390980/big_802535.jpg","NO BRAND","A lóápolás fontos kelléke.","Lovaglás","990.00 HUF",""
"8360448","Leszárítótakaró, nyakas","http://www.decathlon.hu/leszaritotakaro-nyakas-id_8360448.html","http://www.decathlon.hu/media/836/8360448/big_197776.jpg","FOUGANZA","Gyorsan szárad!","Lovaglás","9990.00 HUF",""
"8296901","Kobak C400-as, 52 és 59 cm","http://www.decathlon.hu/kobak-c400-as-52-es-59-cm-id_8296901.html","http://www.decathlon.hu/media/829/8296901/big_53214.jpg","FOUGANZA","A legegyszerűbb, klasszikus megjelenésű kobak. ","Lovaglás","6990.00 HUF",""
"8206478","Gyerek lovaglócipő Classic","http://www.decathlon.hu/gyerek-lovaglocipo-classic-id_8206478.html","http://www.decathlon.hu/media/820/8206478/big_797308.jpg","FOUGANZA","Könnyű le- és felvétel. ","Lovaglás","8990.00 HUF",""
"8216610","Csikózabla egyszertört,karikás","http://www.decathlon.hu/csikozabla-egyszertortkarikas-id_8216610.html","http://www.decathlon.hu/media/821/8216610/big_618512.jpg","FOUGANZA","Az egyik leggyakrabban használt zablatípus.","Lovaglás","2990.00 HUF",""
